system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
02M420,High School for Health Professions and Human Services,DOE,High school,"09,10,11,12,SE",Jun 5 1996,345 EAST 15TH STREET,MANHATTAN,NY,10003,ROBERT GENTILE,2,B,C,B,C,B,C,C,B,,,,,,,,
02M422,Quest to Learn,DOE,Secondary School,"06,07,08,09,10,SE",Jul 1 2009,351 WEST 18 STREET,MANHATTAN,NY,10011,ELISA ARAGON,2,.,.,.,.,.,,,,,,,,,,,
02M425,Leadership and Public Service High School,DOE,High school,"09,10,11,12,SE",Jun 5 1996,90 TRINITY PLACE,MANHATTAN,NY,10006,Philip Santos,2,.,.,.,.,.,,F,C,,,,,,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,DOE,High school,"09,10,11,12,SE",Jul 1 2010,111 EAST 33RD STREET,MANHATTAN,NY,10016,Siv Boletsis,2,.,.,.,.,.,,,,,,,,,,,
02M429,Legacy School for Integrated Studies,DOE,High school,"09,10,11,12",Jun 5 1996,34 WEST 14 STREET,MANHATTAN,NY,10011,Arleen Liquori,2,.,.,.,.,.,,,,,,,,,,,
02M432,Murray Hill Academy,DOE,High school,"09,10,11,12,SE",Jul 1 2010,111 EAST 33RD STREET,MANHATTAN,NY,10016,Anita Manninen Felix,2,.,.,.,.,.,,,,,,,,,,,
02M437,Hudson High School of Learning Technologies,DOE,High school,"09,10,11,12,SE",Jul 1 2010,351 WEST 18 STREET,MANHATTAN,NY,10011,Nancy Amling,2,A,A,A,B,A,A,A,A,,,,,,,,
02M438,International High School at Union Square,DOE,High school,"09,10,11,12,SE",Jul 1 2010,40 IRVING PLACE,MANHATTAN,NY,10003,,2,.,.,.,.,.,,,,,,,,,,,
02M439,Manhattan Village Academy,DOE,High school,"09,10,11,12,SE",Jun 5 1996,43 WEST 22 STREET,MANHATTAN,NY,10010,HECTOR GEAGER,2,B,C,A,B,.,B,B,C,,,,,,,,
02M442,"Ballet Tech, NYC Public School for Dance",DOE,K-12 all grades,"04,05,06,07,08",Jul 1 2001,890 BROADWAY,MANHATTAN,NY,10003,ROY ONEILL,2,B,C,C,B,B,A,B,C,,,,,,,,
